ISO 639 code	BCP-47 code	Number of speakers (rounded)	Writing system(s), ISO 15924	Name (Glottolog)	Glottocode (Glottolog)	Region, ISO 3166 (Glottolog)	Link to Glottolog	Alternative Name(s)	Endonym	Link to Wikipedia
aaa	aaa	<10K	latn	Ghotuo	ghot1243	NG	https://glottolog.org/resource/languoid/id/ghot1243			https://en.wikipedia.org/w/index.php?title=ISO_639:aaa
aaf	aaf	<10K	latn,mlym	Aranadan	aran1261	IN	https://glottolog.org/resource/languoid/id/aran1261			https://en.wikipedia.org/w/index.php?title=ISO_639:aaf
aai	aai	<10K	latn	Arifama-Miniafia	arif1239	PG	https://glottolog.org/resource/languoid/id/arif1239			https://en.wikipedia.org/w/index.php?title=ISO_639:aai
aak	aak	<10K	latn	Ankave	anka1246	PG	https://glottolog.org/resource/languoid/id/anka1246			https://en.wikipedia.org/w/index.php?title=ISO_639:aak
aar	aa	2000000	latn	Afar	afar1241	DJ, ER, ET	https://glottolog.org/resource/languoid/id/afar1241			https://en.wikipedia.org/w/index.php?title=ISO_639:aar
aat	aat	10K-100K	latn	Arvanitika Albanian	arva1236	GR	https://glottolog.org/resource/languoid/id/arva1236			https://en.wikipedia.org/w/index.php?title=ISO_639:aat
aau	aau	<10K	latn	Abau	abau1245	PG	https://glottolog.org/resource/languoid/id/abau1245			https://en.wikipedia.org/w/index.php?title=ISO_639:aau
aaz	aaz	10K-100K	latn	Amarasi	amar1273	ID	https://glottolog.org/resource/languoid/id/amar1273			https://en.wikipedia.org/w/index.php?title=ISO_639:aaz
aba	aba	200000	latn	Abé	abee1242	CI	https://glottolog.org/resource/languoid/id/abee1242			https://en.wikipedia.org/w/index.php?title=ISO_639:aba
abe	abe	<10K	latn	Western Abenaki	west2630	CA	https://glottolog.org/resource/languoid/id/west2630			https://en.wikipedia.org/w/index.php?title=ISO_639:abe
abi	abi	10K-100K	latn	Abidji	abid1235	CI	https://glottolog.org/resource/languoid/id/abid1235			https://en.wikipedia.org/w/index.php?title=ISO_639:abi
abk	ab	100000	cyrl	Abkhaz	abkh1244	GE, RU, TR	https://glottolog.org/resource/languoid/id/abkh1244		Аҧсшәа	https://en.wikipedia.org/w/index.php?title=ISO_639:abk
abl	abl	2000000	latn	Lampung Nyo	lamp1242	ID	https://glottolog.org/resource/languoid/id/lamp1242			https://en.wikipedia.org/w/index.php?title=ISO_639:abl
abn	abn	10K-100K	latn	Abua	abua1244	NG	https://glottolog.org/resource/languoid/id/abua1244			https://en.wikipedia.org/w/index.php?title=ISO_639:abn
abp	abp	<10K	latn	Abenlen Ayta	aben1249	PH	https://glottolog.org/resource/languoid/id/aben1249			https://en.wikipedia.org/w/index.php?title=ISO_639:abp
abq	abq	10K-100K	cyrl	Abaza	abaz1241	RU, TR	https://glottolog.org/resource/languoid/id/abaz1241			https://en.wikipedia.org/w/index.php?title=ISO_639:abq
abr	abr	1000000	latn	Abron	abro1238	CI, GH	https://glottolog.org/resource/languoid/id/abro1238		Brong	https://en.wikipedia.org/w/index.php?title=ISO_639:abr
abs	abs	2000000	latn	Ambonese Malay	ambo1250	ID	https://glottolog.org/resource/languoid/id/ambo1250		Bahasa Ambon	https://en.wikipedia.org/w/index.php?title=ISO_639:abs
