qunxaama	a little
mangom	a lot
mangom	a lot of
cab	abandon
cabbimteh	abandoned
madqat amrimiyya	abide
raamoysimiyya	abide
duddala	ability
xiqtò le	able
ama caagidih	about
daga	above
fayya	above
iro baaxo	abroad
anewayti	absence
raqti	absence
mayana	absent
inkih tanuuk	absolutely
fuuqtah	absorb
taaqubeh	absorb
kutbeh cibu	abstract
mayxaaxa	abstract
egeri	absurd
qajiibik taniimi	absurd
manga	abundance
mangali	abundant
uncusiyyat	abuse
anxaca	accent
oggoliyya	accept
gudduyso	access
daqdaqu	accident
araca	accommodation
madaba	accommodation
agdaaabe	accomplish
tungudduubeh	accomplished
ta gurral	according
cisab loowo	account
asmata	accuracy
numma lem	accurate
baatil elle heeh	accused
malkimeh	accused
lakimu	ache
arcis	achieve
arcisiino	achievement
mamaxxaga yaceenimi	acknowledge
ixxigaagi	acquaintance
aaxigehan num/barra	acquaintance
geyiyya	acquire
geeh	acquired
geyiyya	acquisition
bukkusiyya	acquisition
exxaak exxa fan	across
ab	act
celsis	act
maaqatta	action
abina	action
fakut yan	active
ugutut yani	active
abtooti	activities
uguugutitte	activities
uguugutu	activity
agxe	activity
doklise	actor
asmat leemi	actual
immay	actually
asmatah	actually
cubbi le	acute
ansamaamaq	adapt
osiyya	add
kaaribiteh	addicted
osiyya	addition
ossotinah	additional
sugmenta	address
guub	address
raceyna	address
xiqtah	adequate
garit taniimi	adjacent
weelò qangooru	adjective
missoysiyya	adjust
assakaatiyya	admire
oggol	admit
culsa	admit
assanabbiyya	adopt
rufto leemi	adorable
aysukum	advance
tookomeh	advanced
bisoh iyye	advanced
kulsa	advantage
qellaaama	adventure
abni gurra	adverb
maysaxxaga	advertisement
aysaxaaxagiyya	advertising
fayu	advice
faysiyya	advise
gaaroysa	advocate
bilhada le	aesthetic
Qafar	Afar
caagidi	affair
tu baahu	affect
biyaakiyya	affect
kacanu	affection
fayxi	affection
meklaamih dudda	afford
ceela mellebì	affordable
meesi	afraid
lakal	after
wadiri	after
carra	afternoon
wohuk lakal	afterwards
wixih	again
kaadu	again
saduh tani	against
karma	age
awlaytu	agency
awlaytu	agent
naqboytiyyo	aggressive
sissikih	agile
naharat	ago
ittingeyi	agree
oggoliyya	agree
ittin-geyi	agreement
buqrè	agriculture
foocah	ahead
catò	aid
qalaamisiyya	aim
silaytu	air
hawal tatrusiyya	air
tayyaara booxa	airport
toloyla	aisle
qawwalayla seeco	alarm
kamri	alcohol
gocoyu	alcohol
garci kaliyya	alert
manol taniimi	alive
inkih	all
inkih nagaya	all right
meqe saami	all the best
idnisso	allow
idnimteemi	allowed
too caddò fan takku	almost
dubuk	alone
lih	along
dumaak	already
naharal elle	already
nagaya	Alright
meqeh!	Alright
tohukkalah	also
kaadu	also
dooriti	alternative
kinnih immay	although
takkay immay	although
kulli waqdi	always
kinniyoh	am
kaxxam meqe	amazing
caakuumut	amazing
qaddoowewayteemi	ambiguous
qaago	ambition
hanbareeri	ambitious
qaago li	ambitious
milaagiyya	amend
aysaasiyya	amend
fanat	amid
fanat	among
ni addat	among us
gide	amount
tasuuluseemi	amusing
makeelo	analysis
kaxxa abboobiti	ancestors
boroysi	anchor
awwalih imi	ancient
kee	and
atuu hay?	and you
malayka	angel
naqabu	anger
gonà	angle
naqabuli	angry
bahaahimi	animal
xukcuno	ankle
liggidi madaarah ayro	anniversary
maysaxxaga	announcement
naqbisiyya	annoy
bakcarriteh	annoyed
bakcarrissaama	annoying
kulli sanat	annual
migaq mali	anonymous
ossotinah	another
gersiimi	another
gacsa	answer
qambaala sug	anticipate
bohoy	anxiety
bohoy li	anxious
ceenitiyya	anxious
akkinnnaan	any
faxe	any
ahaksa	anymore
faxe num	anyone
faxe caagid	anything
faxe caalatal	anyway
faxennalay	anyways
xaquh	apart
baxsinteh	apart
roysan qari	apartment
qafuutah essero	apologize
qadoh	apparent
akah tambullennah	apparently
yok-mataxca	appeal
ubmbulliyya	appear
weelo	appearance
yumbulle	appeared
maaqo fayxi	appetite
tuffaaca	apple
antifiqiyya	application
tadeera	application
antafaqa	apply
essero xayyoysa	apply
reeda	appointment
xagana	appointment
raabit	appreciate
ossokoot	appreciate
gadda gacsa	appreciation
raabitiyya	appreciation
xayyowiyya	approach
xayna	approach
abaanam faxximtam	appropriate
akah taguude	appropriate
idini	approval
oggolu	approve
faaticisiyya	approve
idniseh	approved
akkalah	approximately
edde xayuh	approximately
qasa dirri	april
annaak	arbitrary
nammaafiyyoh	arbitrary
xisò mahandis	architect
xisò handasata	architecture
maysarraqa goli	archive
kinnoonuh	are
atu kinnitoo	are you
atu agxe maay lito?	are you busy
atu maay digibteeh?	are you married
atu digibteh innaa dubuk tan?	are you married or single
Atu uxih wokkel tantoo?	Are you still there?
wokkel tantoo?	are you there
wokke guftee?	are you there
araca	area
caafata	area
qaduwwutiyya	argue
qaduwwi	argument
ugtiyya	arise
atkiyiyya	arm
gaba	arm
ibi qande	army
dariifa	around
massoysiyya	arrange
gulgulu	arrangement
gufoyya	arrival
gufne	arrive
gufeh	arrived
kaxxiina li	arrogant
gaysebaxa	arrow
fanni	art
maasayya	article
sinam bicisse	artificial
fannaan	artist
innaah	as
wak	as
wohim ennatam fan	as long as
tonnah kaadu	as well
tonnah kaadu	as well as
gommodu	ash
wacarriyeh	ashamed
esser	ask
essereh	asked
xiineh	asleep
ceelo	aspect
Assam afa	Assamese
agra	assault
atka	assault
gaaboyna	assembly
asmatle	assertive
diggale	assertive
kusaaqis	assess
mohoodisiyya	assess
mohoodisiyya	assessment
ikoyta	asset
ikoytiit	assets
midiri	assets
mixxagis	assign
mixxaagisiyyo	assignment
buxà taama	assignment
catiyya	assist
catoh lon num	assistant
ramaddoysiyya	associate
angaaraw le	associated
egla	association
akkala	assume
fayramo	assume
akkala	assumption
fanah	at
al	at
akim raqtu	at least
yokmeh	ate
qanxaffe diikaysè	athlete
xakbis	attach
xakbimteh	attached
xakbitiyya	attachment
xakbo	attachment
atka	attack
gibbatu	attempt
geyto	attend
yemeete marih loowo	attendance
tuhtemeeti	attendance
hangi	attention
caalat	attitude
ascab	attitude
hirgo	attract
hirgiyya	attraction
ruffa hayti	attraction
hirgo le	attractive
acayiyya	attribute
gaaboyna	audience
kattaate	audience
ximoli	august
anna'	aunt
ina	aunty
yanna	aunty
abba maqanxa	aunty
numma le	authentic
kutbe-abe	author
reedantu	authority
saqoolinna	authority
sugumu	autumn
geytimtaama	available
taniimi	available
fantiita	average
edder	avoid
kalti	avoid
ambada	awake
nidibu	awake
acwa	award
bilimi	award
ixxigi	aware
cedsiyya	awareness
maysaxxaga	awareness
baxxo	away
xer ikke	away
cakkumuk taniimi	awesome
kaxxam meqe	awesome
kaxxam umaama	awful
amqè sinniimi	awkward
Aymarah afa	Aymara
alqi	baby
rihim mali	bachelor
diironu	back
derre	back
wadir	back
darreh aydaadu	background
umah	bad
borsa	bag
kullum edde yabbixeenuh yaceen maaqo	bait
alas	bake
gaqammoh alaysoh buxa	bakery
miizaana	balance
qeedalisso	balance
koqso	ball
Bambarah afa	Bambara
muuzu	banana
gaddi dokonu	band
dubto	bang
bombi qawta	bang
banki	bank
maqab buxa	bar
dagoomuh	barely
mabbalo	bargain
kutikaaya	bark
caffali	barley
ilaawa	barley
gexekala	barrier
rakiibo	base
rakiiboh elle tan	based
.ik temeete	based
guba raaqa baaxà	basement
rakiiboh taniimi	basic
rakiiboh taniimi	basically
caxa sifà	basil
ilmoyta	bastard
inki uddurih uwwa	batch
dagar kaqaylo	bath
kaqaylo qari	bathroom
batri	battery
carbi	battle
qeebi	battle
baddi caraata	bay
tik	be
magarcitin	be careful
caatih ab	be careful
baddi qaxa	beach
qamiddu	beam
diifu	beam
baakeelaali	beans
esseed	bear
xiq	bear
debeni	beard
quuka	bearing
gexgexiti	bearing
sinam giqa	beast
ala	beast
mayso	beat
ugur	beat
qax meqe	beautiful
qaxa	beauty
tekkeh	became
kinniimih sabbatah	because
yakkeenimi	become
kaqaada	bed
ximtimà qari	bedroom
diidaale	bee
laahi cado	beef
sugeh	been
khamri	beer
biira	beer
dumal	before
naharal	before
qimmisseh	began
qimmis	begin
qembo	beginning
qimmo	beginning
afto	behalf
caalat emeq	behave
caalata	behavior
cibaara	behaviour
widiri	behind
derre	behind
kinnaane	being
yakkeenimi	being
kibala	belief
aamanto	belief
eemen	believe
garba	belly
addat	belong
yinkicinne	beloved
guba	below
qarumu	belt
xer korsi	bench
xammaq	bend
qunun	bend
gubat	beneath
tuxxiq leemi	benefit
maksab	benefit
tuxxiq	benefits
xaqut	beside
wohuk kalah	besides
muxxò leemi	best
meqe saami	best of luck
meqaane luk	best regards
taysi	better
kaxxam meqe	better
fana	between
maqaba	beverage
wohuk bisoh	beyond
Bhojpurih afa	Bhojpuri
adda-baxsa	bias
hawa	bias
gabbise	biased
saykili	bicycle
anaakam limò	bid
nabah	big
kaxxah	big
saykili	bike
tadiira	bill
xakbis	bind
kimmiro	bird
ubukyah ayro	birthday
dagom	bit
rike	bit
ariyya	bite
aroowu	bite
qeero	bitter
datah	black
mulaada	blade
essecek	blame
foyya	blank
faxo	blank
guula	blanket
bombi bakaqa	blast
wado bisuh korsiyys	bleach
asgalliyya	blend
barka dooqa ab	bless
barkatooweh	blessed
inti mali	blind
kaxxa rufto	bliss
waaso	block
qabala	blood
qoborti ubukya	bloom
bakqisiyya	blow
kulcin bisu	blue
bacudu	blunt
celsis mayaaxigi	blunt
luucu	board
huuri	boat
xagar	body
facis	boil
kubuqu	boil
yalliili	bold
qalla	bond
xakabu	bond
lafa	bone
kitab	book
agiiris	boost
agiirisa num	booster
xukcuno gufta kabella	boot
xukcuno gufa kabeeli	boots
cuduudu	border
laclaacu	bore
coteh	bored
laclaceh	bored
nakur leemi	boring
laclac leemi	boring
yoobokeh	born
mago bey	borrow
saqala	boss
nammayak	both
agxe	bother
karaarata	bottle
ragidi	bottom
gubat	bottom
xaameh	bought
xifris	bounce
tumoxxeeh	bound
maadu	boundaries
caydu	boundaries
qunun	bow
sacana	bowl
sanduugu	box
awka	boy
mereyta	boyfriend
gaba dahaba	bracelet
misinkacà	brain
ludda	branch
bedu	brand
asta	brand
agiru	brave
madqah iqta	breach
gaqambo	bread
afto	break
iggil	break
miidi kalo	breakfast
angu	breast
ufuyu	breath
ufuy rub	breathe
aydariyya	breed
kalla xaa	brick
qibna'	bride
holholu	bridge
ux baxxaqisso	brief
ifu leemi	bright
nabam meqe	brilliant
kas le	brilliant
bah	bring
saacibow	bro
toobokoytaw	bro
fidinih	broad
baarle	broad
aybalaalaqa	broadcast
xaagu tatrusu	broadcast
tiggileh	broke
lakqo sinna	broke
yiggileh	broke
tiddigilleemi	broken
fiyeena	broom
toobokoyta	brother
ballu	brother in law
baaheh	brought
baahen	brought
diimin bisu	brown
fiy	brush
askutiyya	brush
baaladi	bucket
xayi kataysa	buddy
miizaniyyata	budget
laclacisiyya	bug
xis	build
xisne	building
xiseh	built
kaxxam mango	bulk
aguru	bull
