a	ida
a little	uitoan
a lot	barak
a lot of	barak husi
abandon	husik hela
abandoned	husik hela
abide	hela
ability	abilidade
able	bele
about	kona-ba
above	iha leten
abroad	rai liur
absence	auzensia
absent	absénsia
absolutely	absolutamente
absorb	supa
abstract	abstratu
absurd	absurdu
abundance	abundansia
abundant	abundante
abuse	abuzu
abuse	viola
accent	sotake
accept	aseita
access	asesu
accident	asidenti
accommodation	akomodasaun
accomplish	kompleta
accomplished	realizada
according	akordu
account	konta
accuracy	akuradu
accurate	akuradu
accused	akuzadu
ache	moras
achieve	alkanse
achievement	konkista
acknowledge	rekoñese
acquaintance	koñesidu
acquire	obten
acquired	hetan
acquisition	sosa
across	liuhosi
across	kruza
act	asaun
action	asaun
active	ativu
activities	atividade
activity	atividade
actor	Ator
actual	atual
actually	loloos ne'e
acute	agudu
adapt	adapta
add	aumenta
addicted	Vísiu
addition	adisionál
additional	adisionál
address	enderessu
address	hato'o
adequate	adekuadu
adjacent	besik-malu
adjective	adjetivu
adjust	ajusta
admire	orgullu
admit	konfesa
adopt	adota
adorable	adorável
advance	avansu
advance	promove
advanced	avansadu
advantage	advantajen
adventure	aventura
adverb	advérbiu
advertisement	anúnsiu
advertising	publisidade
advice	lia-menon
advice	sujestaun
advise	konsola
advocate	advokasia
aesthetic	estétika
affair	asuntu
affair	lia
affect	afeita
affection	efeksaun
afford	fó
affordable	bele hola
afraid	ta'uk
after	depoisde
afternoon	lokraik
afterwards	depois
again	fali
against	kontra
age	idade
agency	Ajensia
agent	ajente
aggressive	agresivu
agile	ájil
ago	liu bá
agree	akordu
agreement	akordu
agriculture	agrikultura
ahead	iha oin
aid	ajuda
aim	alvu
air	anin
airport	aeroportu
aisle	korredór
alarm	alarma
alcohol	alku
alert	alerta
alive	moris
all	hotu-hotu
all right	Diak
all the best	buat hotu di'ak
allow	permite
allowed	permite ona
almost	kuaze
alone	mesak
along	hamutuk
already	tia ona
Alright	di'ak
also	mós
alternative	alternativu
although	maski
always	sempre
always	hela de'it
am	ha'u mak
amazing	inkrível
ambiguous	ambigu
ambition	ambisaun
ambitious	ambisaun
amend	altera
amid	entre
among	entre
among us	entre ita
amount	montante
amount	totál
amusing	halo kontente
an	ida
analysis	analiza
ancestors	ensestrál
anchor	ankor
ancient	antigu
and	no
and you	no ita-boot
angel	anju
anger	hirus
angle	angulu
angry	hirus
animal	animál
ankle	ain sikun
anniversary	halo tinan
announcement	avizu
annoy	sateia
annoyed	sateia
annoying	iritante
annual	anuál
anonymous	anónimu
another	seluk fali
answer	responde
answer	resposta
anticipate	antisipa
anxiety	tuur la hakmatek
anxiety	ansiedade
anxious	tuur la hakmatek
anxious	ansiedade
any	kualkér
any	saida de'it
anymore	tan
anyone	se deit
anything	kualkér
anyway	enfín
anyways	maski nune'e
apart	aparte
apartment	apartamentu
apologize	deskulpa
