tenê	a little
kerematêk	a lot
xeylê	a lot of
teriknayene	abandon
teriknaye	abandoned
mendene	abide
eşkayîş	ability
eşkayox	able
derheq de	about
cor	above
teberê welatî	abroad
çinbîyayîş	absence
çin	absent
eynî wina	absolutely
zere girewtene	absorb
antene zere	absorb
razber	abstract
xulasa	abstract
bêmana	absurd
bereket	abundance
bol	abundant
îstismar	abuse
îstismar kerdene	abuse
aksan	accent
qebul kerdene	accept
ciresayîş	access
cireştene	access
qeza	accident
cayê mendişî	accommodation
besekerdene	accomplish
resna peynî	accomplished
goreyê	according
hesab	account
bêkêmanîye	accuracy
raşt	accurate
suckerde	accused
dej	ache
ser kewtene	achieve
serkewtiş	achievement
qebul kerdene	acknowledge
nas	acquaintance
dest girewtene	acquire
girewte	acquired
destgirewtiş	acquisition
ser ra	across
kerdene	act
aksîyon	action
aktîf	active
aktîvîteyî	activities
aktîvîte	activity
kaybaz	actor
raştikên	actual
esasen	actually
giran	acute
yê xo kerdene	adapt
dest dayene	adapt
îlawe kerdene	add
tîryakî	addicted
îlawe	addition
îlawe	additional
xitab kerdene	address
adrese	address
cade	adequate
pêranîyaye	adjacent
sifet	adjective
eyar kerdene	adjust
ecibnayene	admire
qebul kerdene	admit
yê xo kerdene	adopt
qebul kerdene	adopt
zaf şîrin	adorable
aver şîyene	advance
averşîyayîş	advance
averşîyaye	advanced
avantaj	advantage
macera	adventure
zerfe	adverb
reklam	advertisement
reklam kerdene	advertising
şîret kerdene	advice
şîret	advise
avûkat	advocate
pawitene	advocate
estetîk	aesthetic
têkilî	affair
tesîr dayene	affect
sînayîş	affection
pê besekerdene	afford
hêrînbar	affordable
tersaye	afraid
dima	after
peyê perojî	afternoon
dima	afterwards
reyna	again
duşt de	against
serrî	age
ajans	agency
ajan	agent
hêrişkar	aggressive
vît	agile
ra ver	ago
hemfikr bîyene	agree
pêkerdiş	agreement
zîret	agriculture
raver	ahead
hetkarîye	aid
amanc	aim
hewa	air
teyarageh	airport
vîyar	aisle
alarm	alarm
alkol	alcohol
baldarî	alert
weş	alive
heme kes	all
temam	all right
qewet bo	all the best
verdayene	allow
bidestûr	allowed
hema-hema	almost
tena	alone
bi … ya	along
xora	already
Temam	Alright
zî	also
alternatîf	alternative
herçiqas ke	although
hertim	always
a	am
fewqelade	amazing
nedîyar	ambiguous
hewes	ambition
hewesdar	ambitious
raşt kerdene	amend
mîyan de	amid
mîyan de	among
mabênê ma de	among us
mîqdar	amount
komîk	amusing
analîz	analysis
bav û kal	ancestors
asinê keştîye	anchor
qedîm	ancient
