ałtsʼíísí	a little
tʼóó ahayóí	a lot
ląʼí da	a lot of
baazhdiiyáh	abandon
baa hayoosnah	abandoned
baa dááʼdiildeeʼ	abandoned
bikʼeh hojiłʼį́h	abide
bijíighahgo	ability
bíjíighah	ability
bíighahgo	able
hodahgo	above
iihjííyá	abroad
doo áadi naʼadáágóó	absence
doo níyáa da	absent
doo kǫ́ǫ́h sidáa da	absent
tsídá tʼáá ákotʼé	absolutely
biłtah yileeh	absorb
tóó baa nitsáhákees	abstract
doo yáʼátʼéeh da	absurd
tʼóó ahayóí	abundance
tʼóó ahayóo	abundant
tiʼjiłʼį́h	abuse
tíʼáhoʼdilį́h	abuse
saad bee yátiʼígíí	accent
nizhdiinil	accept
bee lą́go	accept
bichʼįʼ ahootʼiʼ	access
tiiʼhoodzaa	accident
bee hákaʼeʼeyeedígíí	accommodation
yidadiiyá	accomplish
bidajiyáago	accomplished
tʼáadooleʼé ałtsoh ájiilaago	accomplished
bikʼehgooígíí	according
naaltsoos bee haʼdítʼéhígíí	account
tsʼídá tʼáá ákotʼéego	accuracy
tsʼídá tʼáá ákotʼé	accurate
akʼíhastʼah	accused
adiniih	ache
bíighah alyaa	achieve
bideijiiyáhígíí	achievement
bééhojisinígíí	acknowledge
hwił ééhozinígíí	acknowledge
ałhxééhoʼdoolziih	acquaintance
bóhojiiłʼą́ʼígíí	acquire
nízhdiilá	acquired
tʼáá haʼátʼííshį́į́ nídiilyáago	acquisition
tséʼnaah	across
ahatʼį́h	act
ajootʼįįłígíí	action
ajítʼínígíí	action
áánííłígíí	active
naalnishígíí	active
tʼáadooleʼé baa nidaʼaldeehígíí	activities
tʼáá haʼátʼííshį́į́ baaʼnaʼaldeehígíí	activity
diné áátʼįįłígíí	actor
átʼéhígíí	actual
akoh nidi eii	actually
yéego nanitłʼah	acute
binildin	adapt
bíidzoh	add
ádíhwiiltsood	addicted
bídaʼiidzóhígíí	addition
bíhiiʼníłígíí	addition
nááná łaʼ bináánáaʼnil	additional
ił hazʼánídi	address
ił hazʼánígi	address
tʼáá bíighahgo	adequate
bíighahgi doodago bił bíiltsoodgo	adjacent
tʼáá haʼátʼííshį́į́ ánoolninígíí baa haneʼ	adjective
naalkidgo bikʼeh niilkiʼígíí	adjust
hwił nizhónígo	admire
tʼáá anínígíí bee haʼoodzííʼ	admit
bidajiyáh	adopt
ayóóʼánoolnin	adorable
bee náás adeesdzá	advance
bee náás adzaa	advance
bee náás ádzaa	advanced
bee náás jideeyáh	advanced
achʼihjí aztą́h	advantage
biyiʼ adahwiiztʼiʼ bee biyiʼ honítʼiʼígíí	adventure
saad naadzoh biyiʼdi sinilígíí	adverb
bóʼoolkąąhígíí	advertisement
bóʼoolkąąhí	advertisement
tʼáá haʼátʼííshį́į́ bóʼoolkąąhgo	advertising
ił chʼíhatʼaah	advice
ił chʼíhootʼaah	advise
bá yátiʼ	advocate
azhdilshǫǫh	aesthetic
tʼáá haʼátʼííshį́į́ baa nidaʼaldeehígíí	affair
hweenítʼįįh	affect
anítʼį́h	affect
hwił nizhónígo	affection
nahaniih bíighah	afford
nahidoonih tʼáá bíighah	affordable
nahadzid	afraid
bikéédóó	after
akéédóó	after
ałníʼníʼą́ą́dóó yihwohjįʼ	afternoon
bikéédóó	afterwards
nááná	again
bikʼihjįʼ	against
hwinááhaaígíí	age
iłhahoodzoh bił hazʼánígíí	agency
naanish bił hazʼą́ągi yá naagháhí	agent
dziil hwiinidzin	aggressive
ádáhojilchxįʼ	aggressive
doo nizhdilnaʼ da	agile
bee lą́ hwiinidzin	agree
ałchʼishdę́ę́ʼ bee lą́ʼ aleehígíí	agreement
dadaʼakʼeh	agriculture
alą́ąjįʼ	ahead
ákaʼeʼeyeed	aid
hazhóʼó bikʼeh nishníyáago	aim
níłchʼih	air
chidí naatʼaʼí náádadiitʼahídi	airport
ahodiiláhígíí	aisle
tʼáá haʼátʼííshį́į́ doo yáʼátʼéhígíí hachʼįʼ deeztʼiʼgo bee baaʼákonízinígíí	alarm
étłohí	alcohol
baaʼákohwiinidzin	alert
hiiná	alive
tʼáá ałtsoh	all
tʼáá áko	all right
nizhónígíí tʼáá ałtsoh	all the best
bá ąąʼályaa	allow
bee hooʼaʼ	allowed
kʼasdą́ą́ʼ	almost
tʼáá sáhí	alone
akʼééʼ ídlį́	along
hastʼeedzaa	already
hashtʼeetʼé	already
aooʼ	Alright
tʼáá áko shį́į́	Alright
nááʼałdó	also
nááná łahgo átʼéego shąʼ	alternative
ákotée nidi	although
tʼáá ałhahjįʼ	always
nizhóní	amazing
tʼahdoo hazhóʼó bééhoozįįh da	ambiguous
tʼáá haʼátʼííshį́į́ tʼáá íiyisíí ádeeshłííł jinízingo	ambition
doo bichʼįʼ neʼjilį́į́góó ajilééh	ambitious
naaltsoos łahgo átʼéego háádilyaa	amend
ałníiʼgi	amid
bitah	among
nihitah	among us
anéeltʼeʼígíí	amount
baa honeenih	amusing
nélʼį́įgo binahjįʼ nitsáhákees	analysis
nihizáanii	ancestors
bee ólzhaʼí bee iltsódígíí	anchor
ałkʼidą́ą́ʼ naaznilígíí	ancient
dóó	and
dóó ni	and you
naaniigo deezáhígíí	angel
áhachxįʼ	anger
dínéeztį́h	angle
áhachxįʼ	angry
naaldlooshii	animal
akétsíín	ankle
baa náhoolzhizh	anniversary
haneʼ baa chʼíhatʼaahígíí	announcement
bá hodoonih	annoy
bá hodoonih	annoyed
báhodoonih	annoying
nináhaháahgo	annual
doo baa haneʼ da	anonymous
nááná łaʼ	another
baa náhaneʼ	answer
nawolníh	anticipate
atah nitsééhaltłiʼ	anxiety
nitsééjiltłiʼ	anxious
tʼáá haidííshį́į́	any
tʼáá háí shį́į́	anyone
tʼáá haʼátʼííshį́į́	anything
tʼáadooleʼé	anything
ákotée nidi	anyways
bił booltąʼ	apart
ałkʼih dahooghanígíí	apartment
bee há náhootʼaah jókeedgo	apologize
tʼáá bééhoziní	apparent
ákótʼéego	apparently
bee nináʼiltsóós	appeal
ííshjání ádzaa	appear
ííshjání ádzaaígíí	appearance
tʼáh nítʼę́ę́ʼ kǫ́ǫ́h	appeared
ajilniihígíí	appetite
bilasáana	apple
naaltsoos hadilnéhígíí	application
haʼdilnééh	apply
ajilééh	apply
baa nihootʼánígíí	appointment
baaʼáhxééhwiinidzin	appreciate
baaʼahxééhwiinidzin	appreciation
bichʼįʼ	approach
tʼáá ákotʼé	appropriate
bee lą́ʼ azlį́į́ʼ	approval
bee lą́ʼ azlį́į́ʼ	approve
bee lą́ʼ azlį́į́ʼ	approved
ako néeltʼeʼ shąʼshin	approximately
akotʼé shąʼshin	approximately
Tʼą́ą́chil	april
tʼáadoo hooyání	arbitrary
hooghan hadadilʼį́įgi neichʼąąhí	architect
hooghan doodago kin naachʼąąhígíí	architecture
hashtʼeʼ niiʼnił	archive
ni éí	are you
daʼ tʼáadooleʼéíísh baa naniná?	are you busy
daʼ ninaanish hólǫ́?	are you busy
asiniyeh	are you married
daʼ íyééhísh doodago tʼáá sáhí naniná?	are you married or single
Daʼ tʼahdiísh tʼáá aadi?	Are you still there?
ni éí áadi	are you there
hazʼą́ądi	area
hazʼą́ągi	area
saad doo yáʼátʼéhígíí bee achʼįʼ yájiłtiʼ	argue
saad nichxǫ́ʼí hazlį́į́ʼ	argument
saad nichxǫ́ʼí ałchʼįʼ aheʼnííł	argument
hááyá	arise
agaan	arm
silaołtsooí	army
binaagóó	around
ałkééʼ niiʼnil	arrange
hashtʼeel yaaígíí	arrangement
jiníyáago	arrival
idzáh	arrive
jiníyá	arrived
ázhdoolnih	arrogant
kʼaaʼ	arrow
naʼachʼąąh	art
naaltsoos bee ił haneʼgo hadilyaaígíí	article
tʼóó bééʼalyaaígíí	artificial
naʼachʼąąhí	artist
tʼáá hoolzhish	as long as
ałdóʼ	as well
ałdóʼ	as well as
łeeshchʼiih	ash
baa yázhniizį́į́ʼ	ashamed
naʼídikid	ask
naʼídeekid	asked
ałwosh	asleep
tʼáá háádę́ęgo shį́į́	aspect
diné nízhdííłtsʼingo	assault
ałhiih yiʼnííł	assembly
ałhíʼayiildééh	assembly
doo chʼééh ahaʼníi da	assertive
biʼneelʼąąh	assess
naanish aadeetʼánígíí	assessment
daʼilíinii daahóhígíí	asset
tʼáá haʼátʼíízhį́į́ daahóhígíí	assets
naanish baadeetʼą́h	assign
naanish aadeetʼánígíí	assignment
ákaʼeʼeyeed	assist
ákaʼanálwoʼí	assistant
bił naʼanishí	associate
yił daʼahotąʼígíí	associated
dah ooldah bił hazʼánígíí	association
daatsʼí hwiinidzinígíí	assume
shąʼshin hwiinidzinígíí	assume
shąʼshin jinízingo	assumption
tʼaa biʼohgo	at least
ajiiyą́ą́ʼ	ate
diné jooł yee naanéhí	athlete
bóóltąʼ	attach
biheestłʼǫ́	attach
