un	a
un nebeud	a little
kalz	a lot
kalz a	a lot of
dilezel	abandon
dilezet	abandoned
sentiñ	abide
gouestoni	ability
gouest	able
diwar-benn	about
a-us	above
en estrenvro	abroad
ezvezañs	absence
ezvezant	absent
da vat	absolutely
euvriñ	absorb
difetis	abstract
diboell	absurd
puilhder	abundance
puilh	abundant
touell	abuse
touellañ	abuse
taol-mouezh	accent
tired	accent
asantiñ	accept
moned	access
monet	access
gwallzarvoud	accident
lojeiz	accommodation
seveniñ	accomplish
sevenet	accomplished
diouzh	according
kont	account
resister	accuracy
resis	accurate
tamallet	accused
tamallad	accused
poan	ache
kas da benn	achieve
dont a-benn	achieve
araokadenn	achievement
taol-kaer	achievement
anzav	acknowledge
anaoudegezh	acquaintance
akuizitañ	acquire
akuizitet	acquired
akuizitadur	acquisition
dre	across
a-dreuz	across
ober	act
ober	action
oberiant	active
obererezhioù	activities
obererezh	activity
aktor	actor
gwirion	actual
e gwirionez	actually
lemm	acute
azasaat	adapt
ouzhpennañ	add
adiktet	addicted
sammadur	addition
ouzhpenn	additional
komz ouzh	address
diskoulmañ	address
chomlec'h	address
azas	adequate
stok	adjacent
anv-gwan	adjective
azasaat	adjust
reizhañ	adjust
bezañ bamet rak	admire
anzav	admit
degemer	admit
advugelañ	adopt
karantezus	adorable
araokadenn	advance
kas war-raok	advance
araokaet	advanced
splet	advantage
avantur	adventure
adverb	adverb
tamm bruderezh	advertisement
ober bruderezh	advertising
bruderezh	advertising
aliañ	advice
ali	advice
kuzul	advise
aliañ	advise
alvokad	advocate
kenedus	aesthetic
darempred	affair
afer	affair
degas diaezamantoù	affect
karantez	affection
teneridigezh	affection
gallout	afford
paeus	affordable
aon	afraid
goude	after
enderv	afternoon
goude	afterwards
adarre	again
enep	against
oad	age
ajañs	agency
gwazour	agent
kuzulier	agent
kargad	agent
tagus	aggressive
mibin	agile
zo	ago
asantiñ	agree
emglev	agreement
labour-douar	agriculture
a-raok	ahead
skoazell	aid
pal	aim
aer	air
aerborzh	airport
treuzell	aisle
alarm	alarm
alkool	alcohol
kemenn	alert
divorfil	alert
kemenn-diwall	alert
bev	alive
holl	all
mat eo	all right
chañs vat	all the best
aotren	allow
aotreet	allowed
tost	almost
en e-unan	alone
a-hed	along
dija	already
Mat-tre	Alright
ivez	also
alternativelezh	alternative
daoust ma	although
atav	always
on	am
bamus	amazing
amjestr	ambiguous
youl-sevel	ambition
uhelek	ambitious
kemmañ	amend
e-mesk	amid
e-touez	among
en hon touez	among us
sammad	amount
fentus	amusing
an	an
dielfennadur	analysis
hendadoù	ancestors
eor	anchor
kozh	ancient
ha	and
ha c'hwi	and you
ael	angel
kounnar	anger
korn	angle
kounnaret	angry
loen	animal
ufern	ankle
deiz-ha-bloaz	anniversary
kemenn	announcement
enoeiñ	annoy
enoet	annoyed
enoeüs	annoying
bloaziek	annual
dizanv	anonymous
unan all	another
respont	answer
rakwelet	anticipate
anken	anxiety
ankeniet	anxious
tamm	any
hini ebet	any
mui	anymore
ne vern piv	anyone
ne vern petra	anything
ne vern penaos	anyway
forzh penaos	anyways
a-gostez	apart
ranndi	apartment
digareziñ	apologize
splann	apparent
evit doare	apparently
galv	appeal
ober galv	appeal
dont war wel	appear
tres	appearance
deuet war wel	appeared
c'hoant-debriñ	appetite
aval	apple
arload	application
talvezout	apply
lakaat e anv	apply
emgav	appointment
priziañ	appreciate
priziadur	appreciation
tostaat	approach
azas	appropriate
aprouadenn	approval
aprouiñ	approve
aprouet	approved
mui pe vui	approximately
Ebrel	april
tidel	arbitrary
tisavour	architect
savouriezh	architecture
diell	archive
prez zo warnoc'h	are you busy
dimezet oc'h	are you married
dimezet oc'h pe dizimez	are you married or single
Aze emaoc'h c'hoazh ?	Are you still there?
